"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","16.057607405791572","16.057607405791572","16.057607405791572"
"24576","20.67257350607283","20.67257350607283","20.67257350607283"
"36864","34.40646377911171","34.40646377911171","34.40646377911171"
"49152","47.65505562706998","47.65505562706998","47.65505562706998"
"61440","79.99934881100287","79.99934881100287","79.99934881100287"
"73728","127.22610737432443","127.22610737432443","127.22610737432443"
"86016","159.6813408291118","159.6813408291118","159.6813408291118"
"98304","348.7440943222821","348.7440943222821","348.7440943222821"
"110592","246.69603242854637","246.69603242854637","246.69603242854637"
"122880","605.9084073944184","605.9084073944184","605.9084073944184"
"135168","526.9377523304576","526.9377523304576","526.9377523304576"
"147456","584.7058570648959","584.7058570648959","584.7058570648959"
"159744","625.0372743946958","625.0372743946958","625.0372743946958"
"172032","520.7450027705783","520.7450027705783","520.7450027705783"
"184320","716.0482144050524","716.0482144050524","716.0482144050524"
"196608","1022.716830134282","1022.716830134282","1022.716830134282"
"208896","896.0106615936663","896.0106615936663","896.0106615936663"
"221184","728.046954762213","728.046954762213","728.046954762213"
"233472","817.4811209365121","817.4811209365121","817.4811209365121"
"245760","649.5287021235288","649.5287021235288","649.5287021235288"
"258048","923.0054842083686","923.0054842083686","923.0054842083686"
"270336","1049.4447719794266","1049.4447719794266","1049.4447719794266"
"282624","1054.549999056072","1054.549999056072","1054.549999056072"
"294912","940.4007327547577","940.4007327547577","940.4007327547577"
"307200","1226.5026574222122","1226.5026574222122","1226.5026574222122"
"319488","1276.7687884667228","1276.7687884667228","1276.7687884667228"
"331776","968.6566312378552","968.6566312378552","968.6566312378552"
"344064","1259.6290585496733","1259.6290585496733","1259.6290585496733"
"356352","1226.3570568660896","1226.3570568660896","1226.3570568660896"
"368640","1248.7589107541119","1248.7589107541119","1248.7589107541119"
"380928","1231.872942287256","1231.872942287256","1231.872942287256"
"393216","1028.4902160147044","1028.4902160147044","1028.4902160147044"
"405504","1018.5852759821074","1018.5852759821074","1018.5852759821074"
"417792","1192.4741248783887","1192.4741248783887","1192.4741248783887"
"430080","1210.2981010994981","1210.2981010994981","1210.2981010994981"
"442368","1203.5099881688755","1203.5099881688755","1203.5099881688755"
"454656","1233.8655973760162","1233.8655973760162","1233.8655973760162"
"466944","1226.2325098698632","1226.2325098698632","1226.2325098698632"
"479232","1228.334500014654","1228.334500014654","1228.334500014654"
"491520","1245.2236943044975","1245.2236943044975","1245.2236943044975"
"503808","1077.7167298878942","1077.7167298878942","1077.7167298878942"
"516096","1224.9366736311426","1224.9366736311426","1224.9366736311426"
"528384","1223.4833359917004","1223.4833359917004","1223.4833359917004"
"540672","1227.0574398636818","1227.0574398636818","1227.0574398636818"
"552960","1218.7091450789283","1218.7091450789283","1218.7091450789283"
"565248","1228.7405745648966","1228.7405745648966","1228.7405745648966"
"577536","1237.4101527133296","1237.4101527133296","1237.4101527133296"
"589824","1220.5737947424254","1220.5737947424254","1220.5737947424254"
"602112","1219.8344306548436","1219.8344306548436","1219.8344306548436"
"614400","1226.6181150738028","1226.6181150738028","1226.6181150738028"
"626688","1048.124573050897","1048.124573050897","1048.124573050897"
"638976","1206.0482329813515","1206.0482329813515","1206.0482329813515"
"651264","1212.3904248364643","1212.3904248364643","1212.3904248364643"
"663552","1222.7466441988945","1222.7466441988945","1222.7466441988945"
"675840","1228.0543006757896","1228.0543006757896","1228.0543006757896"
"688128","1221.690655677178","1221.690655677178","1221.690655677178"
"700416","1229.574005514127","1229.574005514127","1229.574005514127"
"712704","1214.1103889841547","1214.1103889841547","1214.1103889841547"
"724992","1209.8760823309422","1209.8760823309422","1209.8760823309422"
"737280","1038.0842990693523","1038.0842990693523","1038.0842990693523"
"749568","1225.129935916625","1225.129935916625","1225.129935916625"
"761856","1203.720023224495","1203.720023224495","1203.720023224495"
"774144","1202.0275994129852","1202.0275994129852","1202.0275994129852"
"786432","1230.5469161556746","1230.5469161556746","1230.5469161556746"
"798720","1216.5197387921687","1216.5197387921687","1216.5197387921687"
"811008","1228.8397158482387","1228.8397158482387","1228.8397158482387"
"823296","1219.3152745962143","1219.3152745962143","1219.3152745962143"
"835584","1216.2993356087516","1216.2993356087516","1216.2993356087516"
"847872","1236.7441844431435","1236.7441844431435","1236.7441844431435"
"860160","1220.834234426419","1220.834234426419","1220.834234426419"
"872448","1210.529357413451","1210.529357413451","1210.529357413451"
