"Step","eval_loss","eval_loss__MIN","eval_loss__MAX","loss","loss__MIN","loss__MAX"
"17342","-1.6838371753692627","-1.6838371753692627","-1.6838371753692627","-0.9289110898971558","-0.9289110898971558","-0.9289110898971558"
"34684","-2.3232407569885254","-2.3232407569885254","-2.3232407569885254","-2.0917232036590576","-2.0917232036590576","-2.0917232036590576"
"52026","-2.77184796333313","-2.77184796333313","-2.77184796333313","-2.6449007987976074","-2.6449007987976074","-2.6449007987976074"
"69368","-3.0378148555755615","-3.0378148555755615","-3.0378148555755615","-3.083664894104004","-3.083664894104004","-3.083664894104004"
"86710","-3.068585157394409","-3.068585157394409","-3.068585157394409","-3.2906532287597656","-3.2906532287597656","-3.2906532287597656"
"104052","-3.0311074256896973","-3.0311074256896973","-3.0311074256896973","-3.422917366027832","-3.422917366027832","-3.422917366027832"
"121394","-2.946566104888916","-2.946566104888916","-2.946566104888916","-3.5640811920166016","-3.5640811920166016","-3.5640811920166016"
"138736","-2.63889217376709","-2.63889217376709","-2.63889217376709","-3.756340503692627","-3.756340503692627","-3.756340503692627"
"156078","-2.4210286140441895","-2.4210286140441895","-2.4210286140441895","-3.917245864868164","-3.917245864868164","-3.917245864868164"
"173420","-1.9470839500427246","-1.9470839500427246","-1.9470839500427246","-4.055329322814941","-4.055329322814941","-4.055329322814941"
"190762","-1.902173399925232","-1.902173399925232","-1.902173399925232","-4.086178302764893","-4.086178302764893","-4.086178302764893"
"208104","-1.4254651069641113","-1.4254651069641113","-1.4254651069641113","-4.227578639984131","-4.227578639984131","-4.227578639984131"
"225446","-1.115317940711975","-1.115317940711975","-1.115317940711975","-4.256516456604004","-4.256516456604004","-4.256516456604004"
"242788","-0.9860280752182007","-0.9860280752182007","-0.9860280752182007","-4.330826759338379","-4.330826759338379","-4.330826759338379"
"260130","-0.2516416907310486","-0.2516416907310486","-0.2516416907310486","-4.246638298034668","-4.246638298034668","-4.246638298034668"
"277472","-0.4916575253009796","-0.4916575253009796","-0.4916575253009796","-4.4081807136535645","-4.4081807136535645","-4.4081807136535645"
"294814","0.1309635490179062","0.1309635490179062","0.1309635490179062","-4.516366481781006","-4.516366481781006","-4.516366481781006"
"312156","0.4791373014450073","0.4791373014450073","0.4791373014450073","-4.549648284912109","-4.549648284912109","-4.549648284912109"
"329498","0.7979555726051331","0.7979555726051331","0.7979555726051331","-4.633237361907959","-4.633237361907959","-4.633237361907959"
