"Step","rollout/step","rollout/step__MIN","rollout/step__MAX"
"12288","74.38650306748467","74.38650306748467","74.38650306748467"
"24576","82.59183673469387","82.59183673469387","82.59183673469387"
"36864","85.53521126760563","85.53521126760563","85.53521126760563"
"49152","96.52380952380952","96.52380952380952","96.52380952380952"
"61440","105.85217391304347","105.85217391304347","105.85217391304347"
"73728","127","127","127"
"86016","145.28571428571428","145.28571428571428","145.28571428571428"
"98304","129.72340425531914","129.72340425531914","129.72340425531914"
"110592","138.63636363636363","138.63636363636363","138.63636363636363"
"122880","129.72340425531914","129.72340425531914","129.72340425531914"
"135168","128.34736842105264","128.34736842105264","128.34736842105264"
"147456","131.1290322580645","131.1290322580645","131.1290322580645"
"159744","145.28571428571428","145.28571428571428","145.28571428571428"
"172032","154.54430379746836","154.54430379746836","154.54430379746836"
"184320","148.85365853658536","148.85365853658536","148.85365853658536"
"196608","165.05405405405406","165.05405405405406","165.05405405405406"
"208896","138.63636363636363","138.63636363636363","138.63636363636363"
"221184","135.53333333333333","135.53333333333333","135.53333333333333"
"233472","148.85365853658536","148.85365853658536","148.85365853658536"
"245760","158.58441558441558","158.58441558441558","158.58441558441558"
"258048","156.53846153846155","156.53846153846155","156.53846153846155"
"270336","156.53846153846155","156.53846153846155","156.53846153846155"
"282624","165.05405405405406","165.05405405405406","165.05405405405406"
"294912","148.85365853658536","148.85365853658536","148.85365853658536"
"307200","165.05405405405406","165.05405405405406","165.05405405405406"
"319488","169.66666666666666","169.66666666666666","169.66666666666666"
"331776","182.40298507462686","182.40298507462686","182.40298507462686"
"344064","140.24137931034483","140.24137931034483","140.24137931034483"
"356352","150.7037037037037","150.7037037037037","150.7037037037037"
"368640","138.63636363636363","138.63636363636363","138.63636363636363"
"380928","154.54430379746836","154.54430379746836","154.54430379746836"
"393216","162.84","162.84","162.84"
"405504","141.88372093023256","141.88372093023256","141.88372093023256"
"417792","147.04819277108433","147.04819277108433","147.04819277108433"
"430080","138.63636363636363","138.63636363636363","138.63636363636363"
"442368","147.04819277108433","147.04819277108433","147.04819277108433"
"454656","167.32876712328766","167.32876712328766","167.32876712328766"
"466944","152.6","152.6","152.6"
"479232","188.04615384615386","188.04615384615386","188.04615384615386"
"491520","160.68421052631578","160.68421052631578","160.68421052631578"
"503808","165.05405405405406","165.05405405405406","165.05405405405406"
"516096","140.24137931034483","140.24137931034483","140.24137931034483"
"528384","154.54430379746836","154.54430379746836","154.54430379746836"
"540672","172.07042253521126","172.07042253521126","172.07042253521126"
"552960","162.84","162.84","162.84"
"565248","156.53846153846155","156.53846153846155","156.53846153846155"
"577536","135.53333333333333","135.53333333333333","135.53333333333333"
"589824","152.6","152.6","152.6"
"602112","156.53846153846155","156.53846153846155","156.53846153846155"
"614400","165.05405405405406","165.05405405405406","165.05405405405406"
"626688","154.54430379746836","154.54430379746836","154.54430379746836"
"638976","141.88372093023256","141.88372093023256","141.88372093023256"
"651264","140.24137931034483","140.24137931034483","140.24137931034483"
"663552","177.08695652173913","177.08695652173913","177.08695652173913"
"675840","152.6","152.6","152.6"
"688128","162.84","162.84","162.84"
"700416","138.63636363636363","138.63636363636363","138.63636363636363"
"712704","145.28571428571428","145.28571428571428","145.28571428571428"
"724992","154.54430379746836","154.54430379746836","154.54430379746836"
"737280","141.88372093023256","141.88372093023256","141.88372093023256"
"749568","172.07042253521126","172.07042253521126","172.07042253521126"
"761856","143.56470588235294","143.56470588235294","143.56470588235294"
"774144","141.88372093023256","141.88372093023256","141.88372093023256"
"811008","158.58441558441558","158.58441558441558","158.58441558441558"
"823296","182.40298507462686","182.40298507462686","182.40298507462686"
"835584","154.54430379746836","154.54430379746836","154.54430379746836"
"847872","179.7058823529412","179.7058823529412","179.7058823529412"
"860160","148.85365853658536","148.85365853658536","148.85365853658536"
"872448","177.08695652173913","177.08695652173913","177.08695652173913"
"884736","145.28571428571428","145.28571428571428","145.28571428571428"
"897024","165.05405405405406","165.05405405405406","165.05405405405406"
"909312","154.54430379746836","154.54430379746836","154.54430379746836"
"921600","148.85365853658536","148.85365853658536","148.85365853658536"
"933888","145.28571428571428","145.28571428571428","145.28571428571428"
"946176","165.05405405405406","165.05405405405406","165.05405405405406"
"958464","145.28571428571428","145.28571428571428","145.28571428571428"
"970752","137.06741573033707","137.06741573033707","137.06741573033707"
"983040","143.56470588235294","143.56470588235294","143.56470588235294"
"995328","152.6","152.6","152.6"
"1007616","147.04819277108433","147.04819277108433","147.04819277108433"
"1019904","147.04819277108433","147.04819277108433","147.04819277108433"
"1032192","152.6","152.6","152.6"
"1044480","165.05405405405406","165.05405405405406","165.05405405405406"
"1056768","148.85365853658536","148.85365853658536","148.85365853658536"
"1069056","147.04819277108433","147.04819277108433","147.04819277108433"
"1081344","129.72340425531914","129.72340425531914","129.72340425531914"
"1093632","141.88372093023256","141.88372093023256","141.88372093023256"
"1105920","148.85365853658536","148.85365853658536","148.85365853658536"
"1118208","147.04819277108433","147.04819277108433","147.04819277108433"
"1130496","138.63636363636363","138.63636363636363","138.63636363636363"
"1142784","140.24137931034483","140.24137931034483","140.24137931034483"
"1155072","152.6","152.6","152.6"
"1167360","138.63636363636363","138.63636363636363","138.63636363636363"
"1179648","148.85365853658536","148.85365853658536","148.85365853658536"
"1191936","147.04819277108433","147.04819277108433","147.04819277108433"
"1204224","160.68421052631578","160.68421052631578","160.68421052631578"
"1216512","152.6","152.6","152.6"
"1228800","158.58441558441558","158.58441558441558","158.58441558441558"
"1241088","152.6","152.6","152.6"
"1253376","145.28571428571428","145.28571428571428","145.28571428571428"
"1265664","165.05405405405406","165.05405405405406","165.05405405405406"
"1277952","162.84","162.84","162.84"
"1290240","162.84","162.84","162.84"
"1302528","147.04819277108433","147.04819277108433","147.04819277108433"
"1314816","169.66666666666666","169.66666666666666","169.66666666666666"
"1327104","150.7037037037037","150.7037037037037","150.7037037037037"
"1339392","158.58441558441558","158.58441558441558","158.58441558441558"
"1351680","162.84","162.84","162.84"
"1363968","150.7037037037037","150.7037037037037","150.7037037037037"
"1376256","165.05405405405406","165.05405405405406","165.05405405405406"
"1388544","162.84","162.84","162.84"
"1400832","154.54430379746836","154.54430379746836","154.54430379746836"
"1413120","169.66666666666666","169.66666666666666","169.66666666666666"
"1425408","172.07042253521126","172.07042253521126","172.07042253521126"
"1437696","154.54430379746836","154.54430379746836","154.54430379746836"
"1449984","167.32876712328766","167.32876712328766","167.32876712328766"
"1462272","152.6","152.6","152.6"
"1474560","165.05405405405406","165.05405405405406","165.05405405405406"
"1486848","158.58441558441558","158.58441558441558","158.58441558441558"
"1499136","167.32876712328766","167.32876712328766","167.32876712328766"
"1511424","154.54430379746836","154.54430379746836","154.54430379746836"
"1523712","169.66666666666666","169.66666666666666","169.66666666666666"
