"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","171","171","171"
"24576","180","180","180"
"36864","179","179","179"
"49152","165","165","165"
"61440","149","149","149"
"73728","133","133","133"
"86016","94","94","94"
"98304","95","95","95"
"110592","63","63","63"
"122880","52","52","52"
"135168","50","50","50"
"147456","46","46","46"
"159744","40","40","40"
"172032","48","48","48"
"184320","45","45","45"
"196608","45","45","45"
"208896","35","35","35"
"221184","40","40","40"
"233472","36","36","36"
"245760","36","36","36"
"258048","37","37","37"
"270336","27","27","27"
"282624","34","34","34"
"294912","44","44","44"
"307200","37","37","37"
"319488","26","26","26"
"331776","28","28","28"
"344064","27","27","27"
"356352","16","16","16"
"368640","28","28","28"
"380928","31","31","31"
"393216","30","30","30"
"405504","29","29","29"
"417792","19","19","19"
"430080","31","31","31"
"442368","32","32","32"
"454656","24","24","24"
"466944","24","24","24"
"479232","25","25","25"
"491520","30","30","30"
"503808","29","29","29"
"528384","27","27","27"
"540672","28","28","28"
"552960","27","27","27"
"565248","25","25","25"
"577536","23","23","23"
"589824","22","22","22"
"602112","23","23","23"
"614400","22","22","22"
"626688","16","16","16"
"638976","19","19","19"
"651264","17","17","17"
"663552","16","16","16"
"675840","18","18","18"
"688128","28","28","28"
"700416","21","21","21"
"712704","27","27","27"
"724992","19","19","19"
"737280","28","28","28"
"749568","22","22","22"
"761856","18","18","18"
"774144","26","26","26"
"786432","22","22","22"
"798720","29","29","29"
"811008","25","25","25"
"823296","22","22","22"
"835584","25","25","25"
"847872","19","19","19"
"860160","26","26","26"
"872448","20","20","20"
"884736","19","19","19"
"897024","24","24","24"
"909312","28","28","28"
"921600","28","28","28"
"933888","22","22","22"
"946176","33","33","33"
"958464","19","19","19"
"970752","28","28","28"
"983040","24","24","24"
"995328","31","31","31"
"1007616","28","28","28"
"1019904","21","21","21"
"1032192","25","25","25"
"1044480","22","22","22"
"1056768","23","23","23"
"1069056","25","25","25"
"1081344","15","15","15"
"1093632","21","21","21"
"1105920","31","31","31"
"1118208","17","17","17"
"1130496","19","19","19"
"1142784","30","30","30"
"1155072","23","23","23"
"1167360","19","19","19"
"1179648","30","30","30"
"1191936","21","21","21"
"1204224","21","21","21"
"1216512","29","29","29"
"1228800","25","25","25"
"1241088","22","22","22"
"1253376","27","27","27"
"1265664","32","32","32"
"1277952","19","19","19"
"1290240","29","29","29"
"1302528","18","18","18"
"1314816","25","25","25"
"1327104","26","26","26"
"1339392","22","22","22"
"1351680","24","24","24"
"1363968","26","26","26"
"1376256","24","24","24"
"1388544","17","17","17"
"1400832","24","24","24"
"1413120","30","30","30"
"1425408","19","19","19"
"1437696","19","19","19"
"1449984","30","30","30"
"1462272","12","12","12"
"1474560","30","30","30"
"1486848","23","23","23"
"1499136","28","28","28"
"1511424","30","30","30"
"1523712","26","26","26"
"1536000","26","26","26"
"1548288","25","25","25"
"1560576","27","27","27"
"1572864","29","29","29"
"1585152","32","32","32"
"1597440","25","25","25"
"1609728","29","29","29"
"1622016","29","29","29"
"1634304","28","28","28"
"1646592","22","22","22"
"1658880","25","25","25"
"1671168","25","25","25"
"1683456","22","22","22"
"1695744","29","29","29"
"1708032","33","33","33"
"1720320","27","27","27"
"1732608","26","26","26"
"1744896","26","26","26"
"1757184","27","27","27"
"1769472","21","21","21"
"1781760","30","30","30"
"1794048","23","23","23"
"1806336","31","31","31"
"1818624","26","26","26"
"1830912","27","27","27"
"1843200","24","24","24"
"1855488","25","25","25"
"1867776","24","24","24"
"1880064","31","31","31"
"1892352","27","27","27"
"1904640","25","25","25"
"1916928","25","25","25"
"1929216","29","29","29"
"1941504","22","22","22"
"1953792","23","23","23"
"1966080","29","29","29"
"1978368","31","31","31"
"1990656","21","21","21"
"2002944","32","32","32"
"2015232","36","36","36"
"2027520","28","28","28"
"2039808","27","27","27"
"2052096","27","27","27"
"2064384","31","31","31"
"2076672","30","30","30"
"2088960","32","32","32"
"2101248","30","30","30"
