"Step","rollout/step","rollout/step__MIN","rollout/step__MAX"
"12288","78.27741935483871","78.27741935483871","78.27741935483871"
"24576","68.03370786516854","68.03370786516854","68.03370786516854"
"36864","79.31372549019608","79.31372549019608","79.31372549019608"
"49152","77.76923076923077","77.76923076923077","77.76923076923077"
"61440","88.04347826086956","88.04347826086956","88.04347826086956"
"73728","95.75590551181102","95.75590551181102","95.75590551181102"
"86016","135.53333333333333","135.53333333333333","135.53333333333333"
"98304","156.53846153846155","156.53846153846155","156.53846153846155"
"110592","179.7058823529412","179.7058823529412","179.7058823529412"
"122880","200.44262295081967","200.44262295081967","200.44262295081967"
"135168","214.57894736842104","214.57894736842104","214.57894736842104"
"147456","284.7674418604651","284.7674418604651","284.7674418604651"
"159744","214.57894736842104","214.57894736842104","214.57894736842104"
"172032","207.27118644067798","207.27118644067798","207.27118644067798"
"184320","203.8","203.8","203.8"
"196608","226.55555555555554","226.55555555555554","226.55555555555554"
"208896","207.27118644067798","207.27118644067798","207.27118644067798"
"221184","188.04615384615386","188.04615384615386","188.04615384615386"
"233472","174.54285714285714","174.54285714285714","174.54285714285714"
"245760","169.66666666666666","169.66666666666666","169.66666666666666"
"258048","177.08695652173913","177.08695652173913","177.08695652173913"
"270336","141.88372093023256","141.88372093023256","141.88372093023256"
"282624","154.54430379746836","154.54430379746836","154.54430379746836"
"294912","128.34736842105264","128.34736842105264","128.34736842105264"
"307200","143.56470588235294","143.56470588235294","143.56470588235294"
"319488","127","127","127"
"331776","117.15384615384616","117.15384615384616","117.15384615384616"
"344064","104.02564102564102","104.02564102564102","104.02564102564102"
"356352","116.02857142857142","116.02857142857142","116.02857142857142"
"368640","121.88","121.88","121.88"
"380928","138.63636363636363","138.63636363636363","138.63636363636363"
"393216","141.88372093023256","141.88372093023256","141.88372093023256"
"405504","140.24137931034483","140.24137931034483","140.24137931034483"
"417792","132.56521739130434","132.56521739130434","132.56521739130434"
"430080","138.63636363636363","138.63636363636363","138.63636363636363"
"442368","148.85365853658536","148.85365853658536","148.85365853658536"
"454656","150.7037037037037","150.7037037037037","150.7037037037037"
"466944","162.84","162.84","162.84"
"479232","148.85365853658536","148.85365853658536","148.85365853658536"
"491520","147.04819277108433","147.04819277108433","147.04819277108433"
"503808","140.24137931034483","140.24137931034483","140.24137931034483"
"516096","154.54430379746836","154.54430379746836","154.54430379746836"
"528384","158.58441558441558","158.58441558441558","158.58441558441558"
"540672","150.7037037037037","150.7037037037037","150.7037037037037"
"552960","148.85365853658536","148.85365853658536","148.85365853658536"
"565248","158.58441558441558","158.58441558441558","158.58441558441558"
"577536","158.58441558441558","158.58441558441558","158.58441558441558"
"589824","177.08695652173913","177.08695652173913","177.08695652173913"
"602112","182.40298507462686","182.40298507462686","182.40298507462686"
"614400","174.54285714285714","174.54285714285714","174.54285714285714"
"626688","182.40298507462686","182.40298507462686","182.40298507462686"
"638976","194.04761904761904","194.04761904761904","194.04761904761904"
"651264","188.04615384615386","188.04615384615386","188.04615384615386"
"663552","191","191","191"
"675840","191","191","191"
