"Step","eval_loss","eval_loss__MIN","eval_loss__MAX","loss","loss__MIN","loss__MAX"
"17342","-1.5672460794448853","-1.5672460794448853","-1.5672460794448853","-0.8235718011856079","-0.8235718011856079","-0.8235718011856079"
"34684","-2.333707094192505","-2.333707094192505","-2.333707094192505","-2.037839889526367","-2.037839889526367","-2.037839889526367"
"52026","-2.794950008392334","-2.794950008392334","-2.794950008392334","-2.753749370574951","-2.753749370574951","-2.753749370574951"
"69368","-3.0487899780273438","-3.0487899780273438","-3.0487899780273438","-3.174628496170044","-3.174628496170044","-3.174628496170044"
"86710","-3.02409291267395","-3.02409291267395","-3.02409291267395","-3.365931272506714","-3.365931272506714","-3.365931272506714"
"104052","-3.0187313556671143","-3.0187313556671143","-3.0187313556671143","-3.474898099899292","-3.474898099899292","-3.474898099899292"
"121394","-2.9159927368164062","-2.9159927368164062","-2.9159927368164062","-3.6245808601379395","-3.6245808601379395","-3.6245808601379395"
"138736","-2.578930616378784","-2.578930616378784","-2.578930616378784","-3.8297970294952393","-3.8297970294952393","-3.8297970294952393"
"156078","-2.087541341781616","-2.087541341781616","-2.087541341781616","-4.006889820098877","-4.006889820098877","-4.006889820098877"
"173420","-1.4244667291641235","-1.4244667291641235","-1.4244667291641235","-4.169553279876709","-4.169553279876709","-4.169553279876709"
"190762","-1.100897192955017","-1.100897192955017","-1.100897192955017","-4.230368137359619","-4.230368137359619","-4.230368137359619"
"208104","-0.614045262336731","-0.614045262336731","-0.614045262336731","-4.3358235359191895","-4.3358235359191895","-4.3358235359191895"
"225446","0.07052141427993774","0.07052141427993774","0.07052141427993774","-4.397157669067383","-4.397157669067383","-4.397157669067383"
"242788","0.23323287069797516","0.23323287069797516","0.23323287069797516","-4.365775108337402","-4.365775108337402","-4.365775108337402"
"260130","0.9815800189971924","0.9815800189971924","0.9815800189971924","-4.504720687866211","-4.504720687866211","-4.504720687866211"
"277472","0.7978970408439636","0.7978970408439636","0.7978970408439636","-4.4900054931640625","-4.4900054931640625","-4.4900054931640625"
"294814","1.7282731533050537","1.7282731533050537","1.7282731533050537","-4.588353157043457","-4.588353157043457","-4.588353157043457"
"312156","2.035762310028076","2.035762310028076","2.035762310028076","-4.602397441864014","-4.602397441864014","-4.602397441864014"
"329498","2.6177566051483154","2.6177566051483154","2.6177566051483154","-4.668318271636963","-4.668318271636963","-4.668318271636963"
"346840","2.7501909732818604","2.7501909732818604","2.7501909732818604","-4.576043605804443","-4.576043605804443","-4.576043605804443"
"364182","2.4166367053985596","2.4166367053985596","2.4166367053985596","-4.654114723205566","-4.654114723205566","-4.654114723205566"
"381524","3.739856719970703","3.739856719970703","3.739856719970703","-4.7730393409729","-4.7730393409729","-4.7730393409729"
"398866","3.509380578994751","3.509380578994751","3.509380578994751","-4.670329570770264","-4.670329570770264","-4.670329570770264"
"416208","2.0272865295410156","2.0272865295410156","2.0272865295410156","-1.019303798675537","-1.019303798675537","-1.019303798675537"
"433550","-0.6978870034217834","-0.6978870034217834","-0.6978870034217834","-4.343507766723633","-4.343507766723633","-4.343507766723633"
"450892","0.06200721487402916","0.06200721487402916","0.06200721487402916","-4.585953712463379","-4.585953712463379","-4.585953712463379"
"468234","0.9986941814422607","0.9986941814422607","0.9986941814422607","-4.6994757652282715","-4.6994757652282715","-4.6994757652282715"
"485576","2.1016104221343994","2.1016104221343994","2.1016104221343994","-4.800971984863281","-4.800971984863281","-4.800971984863281"
"502918","3.355024814605713","3.355024814605713","3.355024814605713","-4.8664751052856445","-4.8664751052856445","-4.8664751052856445"
"520260","8.34143352508545","8.34143352508545","8.34143352508545","-4.923626899719238","-4.923626899719238","-4.923626899719238"
"537602","5.292101860046387","5.292101860046387","5.292101860046387","-4.89971399307251","-4.89971399307251","-4.89971399307251"
"554944","6.858938694000244","6.858938694000244","6.858938694000244","-5.011967182159424","-5.011967182159424","-5.011967182159424"
"572286","4.462528228759766","4.462528228759766","4.462528228759766","-4.626959323883057","-4.626959323883057","-4.626959323883057"
"589628","6.637287139892578","6.637287139892578","6.637287139892578","-5.054411888122559","-5.054411888122559","-5.054411888122559"
"606970","6.762612342834473","6.762612342834473","6.762612342834473","-4.750832557678223","-4.750832557678223","-4.750832557678223"
"624312","-0.45137637853622437","-0.45137637853622437","-0.45137637853622437","-0.47173574566841125","-0.47173574566841125","-0.47173574566841125"
"641654","0.22910092771053314","0.22910092771053314","0.22910092771053314","-4.651399612426758","-4.651399612426758","-4.651399612426758"
"658996","1.0778738260269165","1.0778738260269165","1.0778738260269165","-4.75651741027832","-4.75651741027832","-4.75651741027832"
"676338","1.9936758279800415","1.9936758279800415","1.9936758279800415","-4.8462653160095215","-4.8462653160095215","-4.8462653160095215"
"693680","3.2469875812530518","3.2469875812530518","3.2469875812530518","-4.932803630828857","-4.932803630828857","-4.932803630828857"
"711022","4.6944580078125","4.6944580078125","4.6944580078125","-5.015608787536621","-5.015608787536621","-5.015608787536621"
"728364","6.421393394470215","6.421393394470215","6.421393394470215","-5.093379020690918","-5.093379020690918","-5.093379020690918"
"745706","8.193113327026367","8.193113327026367","8.193113327026367","-5.156939506530762","-5.156939506530762","-5.156939506530762"
"763048","9.836156845092773","9.836156845092773","9.836156845092773","-5.19742488861084","-5.19742488861084","-5.19742488861084"
"780390","6.8435821533203125","6.8435821533203125","6.8435821533203125","-4.739599227905273","-4.739599227905273","-4.739599227905273"
"797732","9.309904098510742","9.309904098510742","9.309904098510742","-5.193379878997803","-5.193379878997803","-5.193379878997803"
"815074","20.648025512695312","20.648025512695312","20.648025512695312","-5.24159049987793","-5.24159049987793","-5.24159049987793"
"832416","6.914806842803955","6.914806842803955","6.914806842803955","-4.4273223876953125","-4.4273223876953125","-4.4273223876953125"
"849758","7.889354228973389","7.889354228973389","7.889354228973389","-5.104801654815674","-5.104801654815674","-5.104801654815674"
