"Step","eval_loss","eval_loss__MIN","eval_loss__MAX","loss","loss__MIN","loss__MAX"
"17342","-1.7645246982574463","-1.7645246982574463","-1.7645246982574463","-0.942392885684967","-0.942392885684967","-0.942392885684967"
"34684","-2.4090068340301514","-2.4090068340301514","-2.4090068340301514","-2.181264638900757","-2.181264638900757","-2.181264638900757"
"52026","-2.8906562328338623","-2.8906562328338623","-2.8906562328338623","-2.8826584815979004","-2.8826584815979004","-2.8826584815979004"
"69368","-3.0420284271240234","-3.0420284271240234","-3.0420284271240234","-3.3066294193267822","-3.3066294193267822","-3.3066294193267822"
"86710","-2.9744091033935547","-2.9744091033935547","-2.9744091033935547","-3.567668914794922","-3.567668914794922","-3.567668914794922"
"104052","-2.5527384281158447","-2.5527384281158447","-2.5527384281158447","-3.8334898948669434","-3.8334898948669434","-3.8334898948669434"
"121394","-1.7790662050247192","-1.7790662050247192","-1.7790662050247192","-4.039330005645752","-4.039330005645752","-4.039330005645752"
"138736","-1.008927583694458","-1.008927583694458","-1.008927583694458","-4.205174922943115","-4.205174922943115","-4.205174922943115"
"156078","-0.7733725309371948","-0.7733725309371948","-0.7733725309371948","-4.255180835723877","-4.255180835723877","-4.255180835723877"
"173420","-0.598482608795166","-0.598482608795166","-0.598482608795166","-4.3090500831604","-4.3090500831604","-4.3090500831604"
"190762","-0.0847894698381424","-0.0847894698381424","-0.0847894698381424","-4.399103164672852","-4.399103164672852","-4.399103164672852"
"208104","0.23177646100521088","0.23177646100521088","0.23177646100521088","-4.437920093536377","-4.437920093536377","-4.437920093536377"
"225446","0.7773110270500183","0.7773110270500183","0.7773110270500183","-4.522892475128174","-4.522892475128174","-4.522892475128174"
"242788","1.1110446453094482","1.1110446453094482","1.1110446453094482","-4.549449920654297","-4.549449920654297","-4.549449920654297"
"260130","1.3556338548660278","1.3556338548660278","1.3556338548660278","-4.614617824554443","-4.614617824554443","-4.614617824554443"
"277472","1.7949188947677612","1.7949188947677612","1.7949188947677612","-4.6644110679626465","-4.6644110679626465","-4.6644110679626465"
"294814","2.0040524005889893","2.0040524005889893","2.0040524005889893","-4.697578430175781","-4.697578430175781","-4.697578430175781"
"312156","2.6541497707366943","2.6541497707366943","2.6541497707366943","-4.7263641357421875","-4.7263641357421875","-4.7263641357421875"
"329498","3.2461748123168945","3.2461748123168945","3.2461748123168945","-4.789811134338379","-4.789811134338379","-4.789811134338379"
"346840","3.9783716201782227","3.9783716201782227","3.9783716201782227","-4.864030838012695","-4.864030838012695","-4.864030838012695"
"364182","4.483421802520752","4.483421802520752","4.483421802520752","-4.902618408203125","-4.902618408203125","-4.902618408203125"
