"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","171","171","171"
"24576","170","170","170"
"36864","167","167","167"
"49152","171","171","171"
"61440","177","177","177"
"73728","173","173","173"
"86016","171","171","171"
"98304","170","170","170"
"110592","163","163","163"
"122880","168","168","168"
"135168","155","155","155"
"147456","147","147","147"
"159744","139","139","139"
"172032","142","142","142"
"184320","141","141","141"
"196608","146","146","146"
"208896","121","121","121"
"221184","125","125","125"
"233472","122","122","122"
"245760","123","123","123"
"258048","107","107","107"
"270336","109","109","109"
"282624","114","114","114"
"294912","107","107","107"
"307200","81","81","81"
"319488","92","92","92"
"331776","92","92","92"
"344064","96","96","96"
"356352","92","92","92"
"368640","87","87","87"
"380928","97","97","97"
"393216","92","92","92"
"405504","94","94","94"
"417792","85","85","85"
"430080","87","87","87"
"442368","92","92","92"
"454656","85","85","85"
"466944","90","90","90"
"479232","76","76","76"
"491520","87","87","87"
"503808","91","91","91"
"516096","76","76","76"
"528384","89","89","89"
"540672","91","91","91"
"552960","88","88","88"
"565248","87","87","87"
"577536","82","82","82"
"589824","84","84","84"
"602112","89","89","89"
"614400","89","89","89"
"626688","84","84","84"
"638976","85","85","85"
"651264","84","84","84"
"663552","84","84","84"
"675840","87","87","87"
"688128","85","85","85"
"700416","86","86","86"
"712704","83","83","83"
"724992","83","83","83"
"737280","84","84","84"
"749568","78","78","78"
"761856","78","78","78"
"774144","86","86","86"
"786432","82","82","82"
"798720","87","87","87"
"811008","94","94","94"
"823296","81","81","81"
"835584","83","83","83"
"847872","77","77","77"
"860160","87","87","87"
"872448","89","89","89"
"884736","94","94","94"
"897024","88","88","88"
"909312","86","86","86"
"921600","84","84","84"
"933888","83","83","83"
"946176","83","83","83"
"958464","75","75","75"
"970752","85","85","85"
"983040","81","81","81"
"995328","85","85","85"
"1007616","78","78","78"
"1019904","83","83","83"
"1032192","81","81","81"
"1044480","79","79","79"
"1056768","87","87","87"
"1069056","81","81","81"
"1081344","84","84","84"
"1093632","82","82","82"
"1105920","90","90","90"
"1118208","78","78","78"
"1130496","74","74","74"
"1142784","79","79","79"
"1155072","81","81","81"
"1167360","85","85","85"
"1179648","78","78","78"
"1204224","81","81","81"
"1216512","80","80","80"
"1228800","86","86","86"
"1241088","78","78","78"
"1253376","84","84","84"
"1265664","73","73","73"
"1277952","81","81","81"
"1290240","73","73","73"
"1302528","82","82","82"
"1314816","82","82","82"
"1327104","86","86","86"
"1339392","74","74","74"
"1351680","88","88","88"
"1363968","69","69","69"
"1376256","84","84","84"
"1388544","82","82","82"
"1400832","81","81","81"
"1413120","76","76","76"
"1425408","81","81","81"
"1437696","80","80","80"
"1449984","81","81","81"
"1462272","75","75","75"
"1474560","77","77","77"
"1486848","74","74","74"
"1499136","74","74","74"
"1511424","79","79","79"
"1523712","70","70","70"
"1536000","88","88","88"
"1548288","73","73","73"
"1560576","86","86","86"
