"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","16.125556781404384","16.125556781404384","16.125556781404384"
"24576","16.440239316320675","16.440239316320675","16.440239316320675"
"36864","19.79766551488955","19.79766551488955","19.79766551488955"
"49152","22.589276645977833","22.589276645977833","22.589276645977833"
"61440","32.913233064058176","32.913233064058176","32.913233064058176"
"73728","48.83031867615334","48.83031867615334","48.83031867615334"
"86016","77.58685872725079","77.58685872725079","77.58685872725079"
"98304","113.14940515803356","113.14940515803356","113.14940515803356"
"110592","134.5590468949571","134.5590468949571","134.5590468949571"
"122880","201.17200012008348","201.17200012008348","201.17200012008348"
"135168","279.3855744401614","279.3855744401614","279.3855744401614"
"147456","191.6703648612081","191.6703648612081","191.6703648612081"
"159744","328.24126875028014","328.24126875028014","328.24126875028014"
"172032","388.57853206931924","388.57853206931924","388.57853206931924"
"184320","319.69871291092466","319.69871291092466","319.69871291092466"
"196608","315.9352816113468","315.9352816113468","315.9352816113468"
"208896","504.15364684164524","504.15364684164524","504.15364684164524"
"221184","465.93940680474043","465.93940680474043","465.93940680474043"
"233472","492.9597887992859","492.9597887992859","492.9597887992859"
"245760","592.7431540648074","592.7431540648074","592.7431540648074"
"258048","612.2256539889744","612.2256539889744","612.2256539889744"
"270336","737.7178907990456","737.7178907990456","737.7178907990456"
"282624","778.1547497398243","778.1547497398243","778.1547497398243"
"294912","826.7068285743395","826.7068285743395","826.7068285743395"
"307200","368.4742907626288","368.4742907626288","368.4742907626288"
"319488","724.8726125093763","724.8726125093763","724.8726125093763"
"331776","738.0384445700229","738.0384445700229","738.0384445700229"
"344064","628.5116199096944","628.5116199096944","628.5116199096944"
"356352","630.0000001621061","630.0000001621061","630.0000001621061"
"368640","549.1054915910214","549.1054915910214","549.1054915910214"
"380928","301.65427583451236","301.65427583451236","301.65427583451236"
"393216","686.1608022866824","686.1608022866824","686.1608022866824"
"405504","589.8073003962636","589.8073003962636","589.8073003962636"
"417792","589.9194680526853","589.9194680526853","589.9194680526853"
"430080","669.5613195213855","669.5613195213855","669.5613195213855"
"442368","603.3610188812017","603.3610188812017","603.3610188812017"
"454656","810.3916244109472","810.3916244109472","810.3916244109472"
"466944","817.6652951836586","817.6652951836586","817.6652951836586"
"479232","831.9044582446417","831.9044582446417","831.9044582446417"
"491520","822.5294255502895","822.5294255502895","822.5294255502895"
"503808","679.9883115802493","679.9883115802493","679.9883115802493"
"516096","770.4251317381859","770.4251317381859","770.4251317381859"
"528384","531.1857245290668","531.1857245290668","531.1857245290668"
"540672","665.6326455048153","665.6326455048153","665.6326455048153"
"552960","776.3117205798626","776.3117205798626","776.3117205798626"
"565248","681.1987973024769","681.1987973024769","681.1987973024769"
"577536","666.8710184863636","666.8710184863636","666.8710184863636"
"589824","775.8616460560471","775.8616460560471","775.8616460560471"
"602112","752.3901120412226","752.3901120412226","752.3901120412226"
"614400","762.8461680809656","762.8461680809656","762.8461680809656"
"626688","565.1567681794305","565.1567681794305","565.1567681794305"
"638976","521.3501288294792","521.3501288294792","521.3501288294792"
"651264","433.36199049509173","433.36199049509173","433.36199049509173"
"663552","585.2472080811858","585.2472080811858","585.2472080811858"
"675840","587.1694976529386","587.1694976529386","587.1694976529386"
"688128","798.5477727450352","798.5477727450352","798.5477727450352"
"700416","694.6113958527966","694.6113958527966","694.6113958527966"
"712704","680.374931710107","680.374931710107","680.374931710107"
"724992","806.8859023849169","806.8859023849169","806.8859023849169"
"737280","678.6333938751902","678.6333938751902","678.6333938751902"
"749568","532.3584245641173","532.3584245641173","532.3584245641173"
"761856","594.5896632223361","594.5896632223361","594.5896632223361"
"774144","798.0944610933462","798.0944610933462","798.0944610933462"
"786432","679.0070202915691","679.0070202915691","679.0070202915691"
"798720","794.3035190113641","794.3035190113641","794.3035190113641"
"811008","694.1326568893024","694.1326568893024","694.1326568893024"
"823296","799.7838240861893","799.7838240861893","799.7838240861893"
"835584","801.3484536608061","801.3484536608061","801.3484536608061"
"847872","796.7575778264513","796.7575778264513","796.7575778264513"
"860160","818.9008077581724","818.9008077581724","818.9008077581724"
"872448","805.9376063928303","805.9376063928303","805.9376063928303"
"884736","695.2384935710725","695.2384935710725","695.2384935710725"
"897024","672.3899696714432","672.3899696714432","672.3899696714432"
"909312","584.6321331393533","584.6321331393533","584.6321331393533"
"921600","778.0266515212676","778.0266515212676","778.0266515212676"
"933888","794.7672877808412","794.7672877808412","794.7672877808412"
"946176","781.5223165241754","781.5223165241754","781.5223165241754"
"958464","795.7816081941128","795.7816081941128","795.7816081941128"
"970752","805.7961248159409","805.7961248159409","805.7961248159409"
"983040","803.6092027412441","803.6092027412441","803.6092027412441"
"995328","796.9336119480804","796.9336119480804","796.9336119480804"
"1007616","789.3802652557691","789.3802652557691","789.3802652557691"
"1019904","785.1631729800215","785.1631729800215","785.1631729800215"
"1032192","781.0682275394598","781.0682275394598","781.0682275394598"
"1044480","777.8654253979524","777.8654253979524","777.8654253979524"
"1056768","782.3268743753433","782.3268743753433","782.3268743753433"
"1069056","781.9513883986782","781.9513883986782","781.9513883986782"
"1081344","783.4070191481422","783.4070191481422","783.4070191481422"
"1093632","782.4770878342664","782.4770878342664","782.4770878342664"
"1105920","781.4967378973961","781.4967378973961","781.4967378973961"
"1118208","770.5733041861366","770.5733041861366","770.5733041861366"
"1130496","781.586447683548","781.586447683548","781.586447683548"
"1142784","795.3138323226284","795.3138323226284","795.3138323226284"
"1155072","786.8874783824717","786.8874783824717","786.8874783824717"
"1167360","779.4371248062204","779.4371248062204","779.4371248062204"
"1179648","782.6416053261942","782.6416053261942","782.6416053261942"
"1191936","780.7353735367457","780.7353735367457","780.7353735367457"
"1204224","779.0960310783571","779.0960310783571","779.0960310783571"
"1216512","778.680958598596","778.680958598596","778.680958598596"
"1228800","676.8837584927998","676.8837584927998","676.8837584927998"
"1241088","780.6773598790169","780.6773598790169","780.6773598790169"
"1253376","781.2511551181475","781.2511551181475","781.2511551181475"
"1265664","778.8698244179583","778.8698244179583","778.8698244179583"
"1277952","670.2394361666271","670.2394361666271","670.2394361666271"
"1290240","784.3527237065509","784.3527237065509","784.3527237065509"
"1302528","789.1275550003598","789.1275550003598","789.1275550003598"
"1314816","782.2646043398689","782.2646043398689","782.2646043398689"
"1327104","789.5252018074194","789.5252018074194","789.5252018074194"
"1339392","673.8418639387403","673.8418639387403","673.8418639387403"
"1351680","783.3391234242545","783.3391234242545","783.3391234242545"
"1363968","784.9913912216822","784.9913912216822","784.9913912216822"
