"Step","rollout/step","rollout/step__MIN","rollout/step__MAX"
"12288","71.71005917159763","71.71005917159763","71.71005917159763"
"24576","64.71122994652407","64.71122994652407","64.71122994652407"
"36864","71.71005917159763","71.71005917159763","71.71005917159763"
"49152","74.85185185185185","74.85185185185185","74.85185185185185"
"61440","92.80152671755725","92.80152671755725","92.80152671755725"
"73728","121.88","121.88","121.88"
"86016","174.54285714285714","174.54285714285714","174.54285714285714"
"98304","239.94117647058823","239.94117647058823","239.94117647058823"
"110592","272.06666666666666","272.06666666666666","272.06666666666666"
"122880","408.6","408.6","408.6"
"135168","584.1428571428571","584.1428571428571","584.1428571428571"
"147456","437.85714285714283","437.85714285714283","437.85714285714283"
"159744","767","767","767"
"172032","1023","1023","1023"
"184320","876.7142857142857","876.7142857142857","876.7142857142857"
"196608","944.2307692307693","944.2307692307693","944.2307692307693"
"208896","1535","1535","1535"
"221184","1535","1535","1535"
"233472","1535","1535","1535"
"245760","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"258048","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"270336","2047","2047","2047"
"282624","2047","2047","2047"
"294912","2047","2047","2047"
"307200","876.7142857142857","876.7142857142857","876.7142857142857"
"319488","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"331776","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"344064","1535","1535","1535"
"356352","1535","1535","1535"
"368640","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"380928","767","767","767"
"393216","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"405504","1535","1535","1535"
"417792","1535","1535","1535"
"430080","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"442368","1535","1535","1535"
"454656","2047","2047","2047"
"466944","2047","2047","2047"
"479232","2047","2047","2047"
"491520","2047","2047","2047"
"503808","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"516096","2047","2047","2047"
"528384","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"540672","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"552960","2047","2047","2047"
"565248","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"577536","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"589824","2047","2047","2047"
"602112","2047","2047","2047"
"614400","2047","2047","2047"
"626688","1535","1535","1535"
"638976","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"651264","1116.090909090909","1116.090909090909","1116.090909090909"
"663552","1535","1535","1535"
"675840","1535","1535","1535"
"688128","2047","2047","2047"
"700416","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"712704","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"724992","2047","2047","2047"
"737280","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"749568","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"761856","1535","1535","1535"
"774144","2047","2047","2047"
"786432","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"798720","2047","2047","2047"
"811008","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"823296","2047","2047","2047"
"835584","2047","2047","2047"
"847872","2047","2047","2047"
"860160","2047","2047","2047"
"872448","2047","2047","2047"
"884736","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"897024","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"909312","1535","1535","1535"
"921600","2047","2047","2047"
"933888","2047","2047","2047"
"946176","2047","2047","2047"
"958464","2047","2047","2047"
"970752","2047","2047","2047"
"983040","2047","2047","2047"
"995328","2047","2047","2047"
"1007616","2047","2047","2047"
"1019904","2047","2047","2047"
"1032192","2047","2047","2047"
"1044480","2047","2047","2047"
"1056768","2047","2047","2047"
"1069056","2047","2047","2047"
"1081344","2047","2047","2047"
"1093632","2047","2047","2047"
"1105920","2047","2047","2047"
"1118208","2047","2047","2047"
"1130496","2047","2047","2047"
"1142784","2047","2047","2047"
"1155072","2047","2047","2047"
"1167360","2047","2047","2047"
"1179648","2047","2047","2047"
"1191936","2047","2047","2047"
"1204224","2047","2047","2047"
"1216512","2047","2047","2047"
"1228800","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1241088","2047","2047","2047"
"1253376","2047","2047","2047"
"1265664","2047","2047","2047"
"1277952","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1290240","2047","2047","2047"
"1302528","2047","2047","2047"
"1314816","2047","2047","2047"
"1327104","2047","2047","2047"
"1339392","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1351680","2047","2047","2047"
"1363968","2047","2047","2047"
"1376256","2047","2047","2047"
"1388544","2047","2047","2047"
"1400832","2047","2047","2047"
"1413120","2047","2047","2047"
"1425408","2047","2047","2047"
"1437696","2047","2047","2047"
"1449984","2047","2047","2047"
"1462272","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1474560","2047","2047","2047"
"1486848","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1499136","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1511424","1535","1535","1535"
"1523712","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1536000","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1548288","2047","2047","2047"
"1560576","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1572864","2047","2047","2047"
"1585152","2047","2047","2047"
"1597440","2047","2047","2047"
"1609728","2047","2047","2047"
