"Step","rollout/completed_n_episodes","rollout/completed_n_episodes__MIN","rollout/completed_n_episodes__MAX"
"12288","173","173","173"
"24576","177","177","177"
"36864","156","156","156"
"49152","130","130","130"
"61440","117","117","117"
"73728","95","95","95"
"86016","88","88","88"
"98304","78","78","78"
"110592","54","54","54"
"122880","52","52","52"
"135168","53","53","53"
"147456","40","40","40"
"159744","50","50","50"
"172032","39","39","39"
"184320","39","39","39"
"196608","41","41","41"
"208896","54","54","54"
"221184","41","41","41"
"233472","49","49","49"
"245760","42","42","42"
"258048","45","45","45"
"270336","34","34","34"
"282624","45","45","45"
"294912","42","42","42"
"307200","37","37","37"
"319488","39","39","39"
"331776","37","37","37"
"344064","48","48","48"
"356352","33","33","33"
"368640","33","33","33"
"380928","34","34","34"
"393216","35","35","35"
"405504","38","38","38"
"417792","41","41","41"
"430080","37","37","37"
"442368","36","36","36"
"454656","43","43","43"
"466944","43","43","43"
"479232","44","44","44"
"491520","34","34","34"
"503808","38","38","38"
"516096","38","38","38"
"528384","41","41","41"
"540672","41","41","41"
"552960","33","33","33"
"565248","43","43","43"
"577536","40","40","40"
"589824","50","50","50"
"602112","41","41","41"
"614400","32","32","32"
"626688","38","38","38"
"638976","40","40","40"
"651264","37","37","37"
"663552","43","43","43"
"675840","31","31","31"
"688128","38","38","38"
"700416","40","40","40"
"712704","41","41","41"
"724992","37","37","37"
"737280","36","36","36"
"749568","41","41","41"
"761856","34","34","34"
"774144","44","44","44"
"786432","32","32","32"
"798720","42","42","42"
"811008","50","50","50"
"823296","35","35","35"
"835584","37","37","37"
"847872","41","41","41"
"860160","36","36","36"
"872448","33","33","33"
"884736","40","40","40"
"897024","36","36","36"
"909312","36","36","36"
"921600","39","39","39"
"933888","36","36","36"
"946176","40","40","40"
"958464","44","44","44"
"970752","36","36","36"
"983040","32","32","32"
"995328","40","40","40"
"1007616","40","40","40"
"1019904","35","35","35"
"1032192","46","46","46"
"1044480","49","49","49"
"1056768","37","37","37"
"1069056","35","35","35"
"1081344","38","38","38"
"1093632","31","31","31"
"1105920","44","44","44"
"1118208","38","38","38"
"1130496","38","38","38"
"1142784","40","40","40"
"1155072","33","33","33"
"1167360","47","47","47"
"1179648","41","41","41"
"1191936","42","42","42"
"1204224","41","41","41"
"1216512","43","43","43"
"1228800","39","39","39"
"1241088","42","42","42"
"1253376","38","38","38"
"1265664","47","47","47"
"1277952","35","35","35"
"1290240","36","36","36"
"1302528","39","39","39"
"1314816","49","49","49"
"1327104","39","39","39"
"1339392","40","40","40"
"1351680","45","45","45"
"1363968","37","37","37"
"1376256","44","44","44"
"1388544","31","31","31"
"1400832","37","37","37"
"1413120","42","42","42"
"1425408","44","44","44"
"1437696","35","35","35"
"1449984","46","46","46"
"1462272","37","37","37"
"1474560","42","42","42"
"1486848","39","39","39"
"1499136","43","43","43"
"1511424","40","40","40"
"1523712","37","37","37"
"1536000","35","35","35"
"1548288","36","36","36"
"1560576","34","34","34"
"1572864","35","35","35"
"1585152","42","42","42"
"1597440","35","35","35"
"1609728","38","38","38"
"1622016","40","40","40"
"1634304","35","35","35"
"1646592","40","40","40"
"1658880","42","42","42"
"1671168","38","38","38"
"1683456","33","33","33"
"1695744","34","34","34"
"1708032","43","43","43"
"1720320","37","37","37"
"1732608","36","36","36"
"1744896","34","34","34"
"1757184","44","44","44"
"1769472","42","42","42"
"1781760","41","41","41"
"1794048","42","42","42"
"1806336","41","41","41"
"1818624","43","43","43"
"1830912","42","42","42"
"1843200","39","39","39"
"1855488","39","39","39"
"1867776","46","46","46"
"1880064","40","40","40"
"1892352","32","32","32"
"1904640","42","42","42"
"1916928","29","29","29"
"1929216","34","34","34"
"1941504","46","46","46"
"1953792","34","34","34"
"1966080","41","41","41"
"1978368","29","29","29"
"1990656","36","36","36"
"2002944","44","44","44"
"2015232","47","47","47"
"2027520","42","42","42"
"2039808","40","40","40"
"2052096","33","33","33"
"2064384","42","42","42"
"2076672","39","39","39"
"2088960","40","40","40"
"2101248","38","38","38"
