"Step","rollout/step","rollout/step__MIN","rollout/step__MAX"
"12288","70.02890173410404","70.02890173410404","70.02890173410404"
"24576","66.88950276243094","66.88950276243094","66.88950276243094"
"36864","66.88950276243094","66.88950276243094","66.88950276243094"
"49152","69.21714285714286","69.21714285714286","69.21714285714286"
"61440","72.58083832335329","72.58083832335329","72.58083832335329"
"73728","117.15384615384616","117.15384615384616","117.15384615384616"
"86016","152.6","152.6","152.6"
"98304","172.07042253521126","172.07042253521126","172.07042253521126"
"110592","191","191","191"
"122880","272.06666666666666","272.06666666666666","272.06666666666666"
"135168","322.36842105263156","322.36842105263156","322.36842105263156"
"147456","437.85714285714283","437.85714285714283","437.85714285714283"
"159744","645.7368421052631","645.7368421052631","645.7368421052631"
"172032","645.7368421052631","645.7368421052631","645.7368421052631"
"184320","1023","1023","1023"
"196608","818.2","818.2","818.2"
"208896","1023","1023","1023"
"221184","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"233472","1535","1535","1535"
"245760","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"258048","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"270336","1535","1535","1535"
"282624","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"294912","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"307200","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"319488","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"331776","2047","2047","2047"
"344064","2047","2047","2047"
"356352","2047","2047","2047"
"368640","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"380928","2047","2047","2047"
"393216","1535","1535","1535"
"405504","1535","1535","1535"
"417792","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"430080","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"442368","2047","2047","2047"
"454656","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"466944","2047","2047","2047"
"479232","2047","2047","2047"
"491520","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"503808","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"516096","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"528384","2047","2047","2047"
"540672","2047","2047","2047"
"552960","2047","2047","2047"
"565248","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"577536","2047","2047","2047"
"589824","2047","2047","2047"
"602112","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"614400","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"626688","2047","2047","2047"
"638976","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"651264","2047","2047","2047"
"663552","2047","2047","2047"
"675840","2047","2047","2047"
"688128","2047","2047","2047"
"700416","2047","2047","2047"
"712704","2047","2047","2047"
"724992","2047","2047","2047"
"737280","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"749568","2047","2047","2047"
"761856","2047","2047","2047"
"774144","2047","2047","2047"
"786432","2047","2047","2047"
"798720","2047","2047","2047"
"811008","2047","2047","2047"
"823296","2047","2047","2047"
"835584","2047","2047","2047"
"847872","2047","2047","2047"
"860160","2047","2047","2047"
"872448","2047","2047","2047"
"884736","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"897024","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"909312","2047","2047","2047"
"921600","2047","2047","2047"
"933888","2047","2047","2047"
"946176","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"958464","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"970752","1535","1535","1535"
"983040","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"995328","1535","1535","1535"
"1007616","1535","1535","1535"
"1019904","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1032192","2047","2047","2047"
"1044480","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1056768","2047","2047","2047"
"1069056","2047","2047","2047"
"1081344","2047","2047","2047"
"1093632","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1105920","2047","2047","2047"
"1118208","1535","1535","1535"
"1130496","2047","2047","2047"
"1142784","2047","2047","2047"
"1155072","1364.3333333333333","1364.3333333333333","1364.3333333333333"
"1167360","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1179648","2047","2047","2047"
"1191936","1535","1535","1535"
"1204224","1535","1535","1535"
"1216512","2047","2047","2047"
"1228800","2047","2047","2047"
"1241088","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1253376","2047","2047","2047"
"1265664","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1277952","2047","2047","2047"
"1290240","2047","2047","2047"
"1302528","2047","2047","2047"
"1314816","2047","2047","2047"
"1327104","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1339392","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1351680","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1363968","2047","2047","2047"
"1376256","1754.4285714285713","1754.4285714285713","1754.4285714285713"
"1388544","2047","2047","2047"
"1400832","2047","2047","2047"
"1413120","2047","2047","2047"
"1425408","2047","2047","2047"
"1437696","2047","2047","2047"
"1449984","2047","2047","2047"
"1462272","2047","2047","2047"
"1474560","2047","2047","2047"
"1486848","2047","2047","2047"
"1499136","2047","2047","2047"
"1511424","2047","2047","2047"
"1523712","2047","2047","2047"
"1536000","2047","2047","2047"
"1548288","2047","2047","2047"
"1560576","2047","2047","2047"
"1572864","2047","2047","2047"
"1585152","2047","2047","2047"
"1597440","2047","2047","2047"
"1609728","2047","2047","2047"
"1622016","2047","2047","2047"
"1634304","2047","2047","2047"
