"Step","rollout/route_completed_in_m","rollout/route_completed_in_m__MIN","rollout/route_completed_in_m__MAX"
"12288","16.370897942431704","16.370897942431704","16.370897942431704"
"24576","15.64449500351052","15.64449500351052","15.64449500351052"
"36864","20.902171918749808","20.902171918749808","20.902171918749808"
"49152","38.0891115184224","38.0891115184224","38.0891115184224"
"61440","44.596238215565684","44.596238215565684","44.596238215565684"
"73728","68.0725636937552","68.0725636937552","68.0725636937552"
"86016","89.19269083364","89.19269083364","89.19269083364"
"98304","103.77708075093288","103.77708075093288","103.77708075093288"
"110592","124.84428486677743","124.84428486677743","124.84428486677743"
"122880","165.38285191463714","165.38285191463714","165.38285191463714"
"135168","236.40651239951453","236.40651239951453","236.40651239951453"
"147456","328.123626361875","328.123626361875","328.123626361875"
"159744","165.32609579060752","165.32609579060752","165.32609579060752"
"172032","337.5948825592433","337.5948825592433","337.5948825592433"
"184320","537.1465031364146","537.1465031364146","537.1465031364146"
"196608","431.5718621394851","431.5718621394851","431.5718621394851"
"208896","353.132150370282","353.132150370282","353.132150370282"
"221184","364.1834397514661","364.1834397514661","364.1834397514661"
"233472","476.2128252254592","476.2128252254592","476.2128252254592"
"245760","436.7354849569723","436.7354849569723","436.7354849569723"
"258048","737.8148856846368","737.8148856846368","737.8148856846368"
"270336","558.9116509547737","558.9116509547737","558.9116509547737"
"282624","741.5357641763077","741.5357641763077","741.5357641763077"
"294912","746.2006687621275","746.2006687621275","746.2006687621275"
"307200","761.2448746462663","761.2448746462663","761.2448746462663"
"319488","752.1785608728727","752.1785608728727","752.1785608728727"
"331776","792.608997563521","792.608997563521","792.608997563521"
"344064","775.2746753593286","775.2746753593286","775.2746753593286"
"356352","792.5170926948389","792.5170926948389","792.5170926948389"
"368640","608.8393330498569","608.8393330498569","608.8393330498569"
"380928","686.0137310613799","686.0137310613799","686.0137310613799"
"393216","802.4839005259549","802.4839005259549","802.4839005259549"
"405504","802.3893025416842","802.3893025416842","802.3893025416842"
"417792","775.9015484849612","775.9015484849612","775.9015484849612"
"430080","808.4523556629816","808.4523556629816","808.4523556629816"
"442368","795.4590215174234","795.4590215174234","795.4590215174234"
"454656","799.0870248265937","799.0870248265937","799.0870248265937"
"466944","813.2747274946009","813.2747274946009","813.2747274946009"
"479232","830.1441989142409","830.1441989142409","830.1441989142409"
"491520","818.7130185067654","818.7130185067654","818.7130185067654"
"503808","813.8617520232996","813.8617520232996","813.8617520232996"
"516096","824.3928558492289","824.3928558492289","824.3928558492289"
"528384","825.0085512696415","825.0085512696415","825.0085512696415"
"540672","825.1233441432317","825.1233441432317","825.1233441432317"
"552960","828.3678714732329","828.3678714732329","828.3678714732329"
"565248","808.6776633659998","808.6776633659998","808.6776633659998"
"577536","794.5179106382406","794.5179106382406","794.5179106382406"
"589824","806.4341865144507","806.4341865144507","806.4341865144507"
"602112","800.9097901384035","800.9097901384035","800.9097901384035"
"614400","797.4126177430153","797.4126177430153","797.4126177430153"
"626688","805.7539929249596","805.7539929249596","805.7539929249596"
"638976","800.8419335671142","800.8419335671142","800.8419335671142"
"651264","807.3909142290017","807.3909142290017","807.3909142290017"
"663552","798.3929122885069","798.3929122885069","798.3929122885069"
"675840","811.134039392074","811.134039392074","811.134039392074"
"688128","802.6235811819182","802.6235811819182","802.6235811819182"
"700416","800.546723862361","800.546723862361","800.546723862361"
"712704","799.6807380107915","799.6807380107915","799.6807380107915"
"724992","795.209523598353","795.209523598353","795.209523598353"
"737280","810.773227930069","810.773227930069","810.773227930069"
"749568","811.8316564150527","811.8316564150527","811.8316564150527"
"761856","815.836055633997","815.836055633997","815.836055633997"
"774144","826.5771918208237","826.5771918208237","826.5771918208237"
"786432","694.6258548147232","694.6258548147232","694.6258548147232"
"798720","795.8754307130972","795.8754307130972","795.8754307130972"
"811008","792.7819476612285","792.7819476612285","792.7819476612285"
"823296","784.3215590604023","784.3215590604023","784.3215590604023"
"835584","791.8878813969965","791.8878813969965","791.8878813969965"
"847872","686.0791034187589","686.0791034187589","686.0791034187589"
"860160","805.8076750934124","805.8076750934124","805.8076750934124"
"872448","789.7948662626619","789.7948662626619","789.7948662626619"
"884736","798.5785877108574","798.5785877108574","798.5785877108574"
"897024","800.9487513303757","800.9487513303757","800.9487513303757"
"909312","785.5143226981163","785.5143226981163","785.5143226981163"
"921600","777.3626959407337","777.3626959407337","777.3626959407337"
"933888","788.6317161419701","788.6317161419701","788.6317161419701"
"946176","784.0455513099829","784.0455513099829","784.0455513099829"
"958464","774.8743113478025","774.8743113478025","774.8743113478025"
"970752","786.3894696929764","786.3894696929764","786.3894696929764"
"983040","785.6322030225109","785.6322030225109","785.6322030225109"
"995328","791.4703994170577","791.4703994170577","791.4703994170577"
"1007616","787.5451939017411","787.5451939017411","787.5451939017411"
"1019904","782.8762855043843","782.8762855043843","782.8762855043843"
"1032192","670.6596482129255","670.6596482129255","670.6596482129255"
"1044480","786.1248276432356","786.1248276432356","786.1248276432356"
"1056768","789.2626771132151","789.2626771132151","789.2626771132151"
"1069056","792.2055987615099","792.2055987615099","792.2055987615099"
"1081344","791.2166095761335","791.2166095761335","791.2166095761335"
"1093632","782.3961817820867","782.3961817820867","782.3961817820867"
"1105920","783.1698151628176","783.1698151628176","783.1698151628176"
"1118208","777.9772282030767","777.9772282030767","777.9772282030767"
"1130496","782.7434896119312","782.7434896119312","782.7434896119312"
"1142784","786.9907228350639","786.9907228350639","786.9907228350639"
"1155072","789.5636481355464","789.5636481355464","789.5636481355464"
"1167360","786.5279334660123","786.5279334660123","786.5279334660123"
"1179648","792.0753313202372","792.0753313202372","792.0753313202372"
"1191936","807.5329498449961","807.5329498449961","807.5329498449961"
"1204224","791.8985600062088","791.8985600062088","791.8985600062088"
"1216512","793.766494829245","793.766494829245","793.766494829245"
"1228800","795.5492893556753","795.5492893556753","795.5492893556753"
"1241088","789.2745174776351","789.2745174776351","789.2745174776351"
"1253376","794.009907485131","794.009907485131","794.009907485131"
"1265664","790.6912097024793","790.6912097024793","790.6912097024793"
"1277952","788.5284744290387","788.5284744290387","788.5284744290387"
"1290240","788.4762133049841","788.4762133049841","788.4762133049841"
"1302528","794.1362595434736","794.1362595434736","794.1362595434736"
"1314816","786.4283981520643","786.4283981520643","786.4283981520643"
"1327104","789.9651681082865","789.9651681082865","789.9651681082865"
"1339392","794.2988940155259","794.2988940155259","794.2988940155259"
"1351680","798.3892209132513","798.3892209132513","798.3892209132513"
"1363968","790.3573822875818","790.3573822875818","790.3573822875818"
"1376256","791.488926500082","791.488926500082","791.488926500082"
"1388544","785.9753069170192","785.9753069170192","785.9753069170192"
"1400832","780.9830957142389","780.9830957142389","780.9830957142389"
"1413120","773.2040548511222","773.2040548511222","773.2040548511222"
"1425408","781.3441558380922","781.3441558380922","781.3441558380922"
"1437696","787.5513081017758","787.5513081017758","787.5513081017758"
"1449984","784.3967283664853","784.3967283664853","784.3967283664853"
"1462272","780.7552368243536","780.7552368243536","780.7552368243536"
"1474560","788.4747454400609","788.4747454400609","788.4747454400609"
"1486848","786.4690460174825","786.4690460174825","786.4690460174825"
"1499136","792.9073318727687","792.9073318727687","792.9073318727687"
"1511424","785.5090537953253","785.5090537953253","785.5090537953253"
"1523712","785.6689133147398","785.6689133147398","785.6689133147398"
"1536000","792.3351234296957","792.3351234296957","792.3351234296957"
"1548288","797.1336493391505","797.1336493391505","797.1336493391505"
"1560576","796.9928583986149","796.9928583986149","796.9928583986149"
"1572864","788.6030967620885","788.6030967620885","788.6030967620885"
"1585152","783.4503660112168","783.4503660112168","783.4503660112168"
"1597440","779.5890802443027","779.5890802443027","779.5890802443027"
"1609728","780.0745846728483","780.0745846728483","780.0745846728483"
"1622016","787.4706314701548","787.4706314701548","787.4706314701548"
"1634304","787.916235396055","787.916235396055","787.916235396055"
"1646592","792.7885866165161","792.7885866165161","792.7885866165161"
"1658880","787.8557684111471","787.8557684111471","787.8557684111471"
